2015-07-08 00:33:33,507 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:33:43,507 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:33:53,507 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:34:03,507 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:34:13,507 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:34:23,507 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:34:33,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:34:43,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:34:53,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:35:03,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:35:13,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:35:23,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:35:33,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:35:43,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:35:53,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:36:03,508 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:36:13,509 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:36:23,509 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:36:33,509 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:36:43,509 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:36:53,509 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:37:03,509 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:37:13,509 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:37:23,509 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:37:33,509 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:37:43,510 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:37:53,510 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:38:03,510 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:38:13,510 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:38:23,510 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:38:33,510 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:38:43,510 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:38:53,510 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:39:03,510 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:39:13,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:39:23,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:39:33,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:39:43,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:39:53,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:40:03,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:40:13,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:40:23,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:40:33,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:40:43,511 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:40:53,512 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:41:03,512 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:41:13,512 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:41:23,512 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:41:33,512 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:41:43,513 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
